barcode,cluster,true_cell_type
CELL_00000,0,CD4_T_cell
CELL_00001,0,CD4_T_cell
CELL_00002,0,CD4_T_cell
CELL_00003,0,CD4_T_cell
CELL_00004,0,CD4_T_cell
CELL_00005,0,CD4_T_cell
CELL_00006,0,CD4_T_cell
CELL_00007,0,CD4_T_cell
CELL_00008,0,CD4_T_cell
CELL_00009,0,CD4_T_cell
CELL_00010,0,CD4_T_cell
CELL_00011,0,CD4_T_cell
CELL_00012,0,CD4_T_cell
CELL_00013,0,CD4_T_cell
CELL_00014,0,CD4_T_cell
CELL_00015,0,CD4_T_cell
CELL_00016,0,CD4_T_cell
CELL_00017,0,CD4_T_cell
CELL_00018,0,CD4_T_cell
CELL_00019,0,CD4_T_cell
CELL_00020,0,CD4_T_cell
CELL_00021,0,CD4_T_cell
CELL_00022,0,CD4_T_cell
CELL_00023,0,CD4_T_cell
CELL_00024,0,CD4_T_cell
CELL_00025,0,CD4_T_cell
CELL_00026,0,CD4_T_cell
CELL_00027,0,CD4_T_cell
CELL_00028,0,CD4_T_cell
CELL_00029,0,CD4_T_cell
CELL_00030,0,CD4_T_cell
CELL_00031,0,CD4_T_cell
CELL_00032,0,CD4_T_cell
CELL_00033,0,CD4_T_cell
CELL_00034,0,CD4_T_cell
CELL_00035,0,CD4_T_cell
CELL_00036,0,CD4_T_cell
CELL_00037,0,CD4_T_cell
CELL_00038,0,CD4_T_cell
CELL_00039,0,CD4_T_cell
CELL_00040,0,CD4_T_cell
CELL_00041,0,CD4_T_cell
CELL_00042,0,CD4_T_cell
CELL_00043,0,CD4_T_cell
CELL_00044,0,CD4_T_cell
CELL_00045,0,CD4_T_cell
CELL_00046,0,CD4_T_cell
CELL_00047,0,CD4_T_cell
CELL_00048,0,CD4_T_cell
CELL_00049,0,CD4_T_cell
CELL_00050,0,CD4_T_cell
CELL_00051,0,CD4_T_cell
CELL_00052,0,CD4_T_cell
CELL_00053,0,CD4_T_cell
CELL_00054,0,CD4_T_cell
CELL_00055,0,CD4_T_cell
CELL_00056,0,CD4_T_cell
CELL_00057,0,CD4_T_cell
CELL_00058,0,CD4_T_cell
CELL_00059,0,CD4_T_cell
CELL_00060,0,CD4_T_cell
CELL_00061,0,CD4_T_cell
CELL_00062,0,CD4_T_cell
CELL_00063,0,CD4_T_cell
CELL_00064,0,CD4_T_cell
CELL_00065,0,CD4_T_cell
CELL_00066,0,CD4_T_cell
CELL_00067,0,CD4_T_cell
CELL_00068,0,CD4_T_cell
CELL_00069,0,CD4_T_cell
CELL_00070,0,CD4_T_cell
CELL_00071,0,CD4_T_cell
CELL_00072,0,CD4_T_cell
CELL_00073,0,CD4_T_cell
CELL_00074,0,CD4_T_cell
CELL_00075,0,CD4_T_cell
CELL_00076,0,CD4_T_cell
CELL_00077,0,CD4_T_cell
CELL_00078,0,CD4_T_cell
CELL_00079,0,CD4_T_cell
CELL_00080,0,CD4_T_cell
CELL_00081,0,CD4_T_cell
CELL_00082,0,CD4_T_cell
CELL_00083,0,CD4_T_cell
CELL_00084,0,CD4_T_cell
CELL_00085,0,CD4_T_cell
CELL_00086,0,CD4_T_cell
CELL_00087,0,CD4_T_cell
CELL_00088,0,CD4_T_cell
CELL_00089,0,CD4_T_cell
CELL_00090,0,CD4_T_cell
CELL_00091,0,CD4_T_cell
CELL_00092,0,CD4_T_cell
CELL_00093,0,CD4_T_cell
CELL_00094,0,CD4_T_cell
CELL_00095,0,CD4_T_cell
CELL_00096,0,CD4_T_cell
CELL_00097,0,CD4_T_cell
CELL_00098,0,CD4_T_cell
CELL_00099,0,CD4_T_cell
CELL_00100,0,CD4_T_cell
CELL_00101,0,CD4_T_cell
CELL_00102,0,CD4_T_cell
CELL_00103,0,CD4_T_cell
CELL_00104,0,CD4_T_cell
CELL_00105,0,CD4_T_cell
CELL_00106,0,CD4_T_cell
CELL_00107,0,CD4_T_cell
CELL_00108,0,CD4_T_cell
CELL_00109,0,CD4_T_cell
CELL_00110,0,CD4_T_cell
CELL_00111,0,CD4_T_cell
CELL_00112,0,CD4_T_cell
CELL_00113,0,CD4_T_cell
CELL_00114,0,CD4_T_cell
CELL_00115,0,CD4_T_cell
CELL_00116,0,CD4_T_cell
CELL_00117,0,CD4_T_cell
CELL_00118,0,CD4_T_cell
CELL_00119,0,CD4_T_cell
CELL_00120,0,CD4_T_cell
CELL_00121,0,CD4_T_cell
CELL_00122,0,CD4_T_cell
CELL_00123,0,CD4_T_cell
CELL_00124,0,CD4_T_cell
CELL_00125,0,CD4_T_cell
CELL_00126,0,CD4_T_cell
CELL_00127,0,CD4_T_cell
CELL_00128,0,CD4_T_cell
CELL_00129,0,CD4_T_cell
