cluster,gene,log_fc,p_adj
0,GENE_1341,1.7702707071972825,1.013259001415088e-36
0,GENE_0847,1.6089047122008253,2.1168275440223443e-24
0,GENE_1233,1.5950223443401965,9.927501091282878e-33
0,GENE_1039,1.566514162080738,1.4111314466265109e-30
0,GENE_1663,1.5535392876089396,7.114916052854018e-31
0,GENE_1968,1.4959546134513662,5.25566859284287e-29
0,GENE_0915,1.4106689019463174,5.871507375861461e-34
0,GENE_0872,1.3916060262510515,8.820145188114283e-26
0,GENE_0693,1.170338258526722,2.5148356411494847e-25
0,GENE_1692,1.150316758535993,4.0558827536997167e-22
1,GENE_0757,1.6863193191457773,3.293431961830481e-20
1,GENE_0923,1.6855762591448702,7.348958805760492e-20
1,GENE_1426,1.476954159432851,2.493991631647645e-21
1,GENE_0185,1.391979267321374,8.601057193911068e-24
1,GENE_1897,1.3876944140681509,4.26077921679488e-25
1,GENE_1846,1.3600952904052757,1.7440024897996414e-23
1,GENE_1820,1.3586259182353595,7.277789640577721e-23
1,GENE_0612,1.340717430523056,1.1086047364732194e-19
1,GENE_1843,1.3142892716152743,1.711101351322475e-23
1,GENE_1266,1.2918512601376795,3.3239266162887137e-21
2,GENE_1428,1.5003993185186093,9.82213793456988e-25
2,GENE_1830,1.489368631745482,5.721368157011957e-19
2,GENE_1636,1.4073626202354008,7.001895242464723e-23
2,GENE_0315,1.3860634517854948,1.604916401563186e-22
2,GENE_1891,1.3567164290964882,7.354896885945289e-23
2,GENE_0675,1.3482359260028223,3.002647264904954e-17
2,GENE_0637,1.2984837918667274,1.4804250387136916e-20
2,GENE_1907,1.219582570567856,5.677867175961733e-15
2,GENE_1668,1.203733003757814,5.3162689215290156e-20
2,GENE_1684,1.1838209528615944,8.260245175800561e-22
3,GENE_0288,1.9123278622599136,1.4428822317438455e-23
3,GENE_1371,1.6786396756536694,3.429961428071901e-24
3,GENE_1637,1.6013972186199665,1.3802939678343574e-21
3,GENE_1109,1.5220095806354181,8.372469296926776e-17
3,GENE_1294,1.519182407994657,8.107282511279651e-18
3,GENE_0936,1.473937463245513,8.498810465205298e-19
3,GENE_0733,1.3886495706531239,3.0262920446069462e-15
3,GENE_1947,1.3026342724137292,4.001726708657152e-16
3,GENE_1270,1.1781191909793898,8.512935485891255e-12
3,GENE_0155,1.1636157649133323,1.6987467972860317e-10
4,GENE_1427,1.7105671757310248,5.039156702822354e-12
4,GENE_1794,1.5661438420507108,2.936972257669808e-14
4,GENE_0912,1.4748662878155123,6.95609383487191e-10
4,GENE_0339,1.4465616190075719,3.8753595132755453e-14
4,GENE_1627,1.4261153212389615,8.264777004362403e-15
4,GENE_1573,1.353114551150822,3.9267718014849414e-13
4,GENE_0471,1.3479345868640613,1.249636063448073e-09
4,GENE_0522,1.3154237655486105,4.3181769268138963e-13
4,GENE_1486,1.3031625691518691,1.5116388027500564e-12
4,GENE_0508,1.2938591422671841,4.804030393972007e-09
